arxiv_id_raw,arxiv_id_no_version,arxiv_title,arxiv_published,arxiv_primary_category,s2_found,s2_paperId,s2_title,s2_year,s2_venue,s2_authors,s2_referenceCount,s2_citationCount,s2_externalIds_json,s2_fieldsOfStudy_json,s2_s2FieldsOfStudy_json,s2_publicationDate,error
2603.13131v1,2603.13131,Steve-Evolving: Open-World Embodied Self-Evolution via Fine-Grained Diagnosis and Dual-Track Knowledge Distillation,2026-03-13T16:23:34Z,cs.AI,1,8b9d264fab816c9bbcbe6930f81fbabf18bdf9c7,Steve-Evolving: Open-World Embodied Self-Evolution via Fine-Grained Diagnosis and Dual-Track Knowledge Distillation,2026,,Zhen Xie; Zhisheng Chen; Ziyan Weng; Tingyu Wu; Chenglong Li; Vireo Zhang; Kun Wang,36,0,"{""ArXiv"": ""2603.13131"", ""CorpusId"": 286519800}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}]",2026-03-13,
2603.12659v1,2603.12659,AVION: Aerial Vision-Language Instruction from Offline Teacher to Prompt-Tuned Network,2026-03-13T05:02:01Z,cs.CV,1,6c23fd6331fd3900ecd027149016cdebdf5d16e5,AVION: Aerial Vision-Language Instruction from Offline Teacher to Prompt-Tuned Network,2026,,Yu Hu; Jianyang Gu; Hao Liu; Yue Cao; Jozsef Hamari; Zhengzhe Liu; Mohsen Zardadi,40,0,"{""ArXiv"": ""2603.12659"", ""CorpusId"": 286517933}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Environmental Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2026-03-13,
2603.12344v1,2603.12344,Generalist Large Language Models for Molecular Property Prediction: Distilling Knowledge from Specialist Models,2026-03-12T18:06:21Z,cs.LG,1,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,Generalist Large Language Models for Molecular Property Prediction: Distilling Knowledge from Specialist Models,2026,,Khiem Le; Sreejata Dey; Marcos Martínez Galindo; Vanessa López; T. Hua; Nitesh V. Chawla; Hoang Thanh Lam,47,0,"{""ArXiv"": ""2603.12344"", ""CorpusId"": 286517587}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Chemistry"", ""source"": ""s2-fos-model""}, {""category"": ""Medicine"", ""source"": ""s2-fos-model""}]",2026-03-12,
2603.12191v1,2603.12191,Long-Context Encoder Models for Polish Language Understanding,2026-03-12T17:21:45Z,cs.CL,1,f74953e56342a8bdd0a13b5341e2d5a97a98e297,Long-Context Encoder Models for Polish Language Understanding,2026,,Slawomir Dadas; Rafal Po'swiata; Marek Kozłowski; Malgorzata Grkebowiec; Michał Perełkiewicz; P. Klimiuk; Przemyslaw Boruta,36,0,"{""ArXiv"": ""2603.12191"", ""CorpusId"": 286493398}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Linguistics"", ""source"": ""s2-fos-model""}]",2026-03-12,
2603.11917v1,2603.11917,PicoSAM3: Real-Time In-Sensor Region-of-Interest Segmentation,2026-03-12T13:31:43Z,cs.CV,1,cafb176e6aeae2c9c0aeca84c559fbd07eefd29d,PicoSAM3: Real-Time In-Sensor Region-of-Interest Segmentation,2026,,Pietro Bonazzi; Nicola Farronato; Stefan Zihlmann; Haotong Qin; Michele Magno,55,0,"{""ArXiv"": ""2603.11917"", ""CorpusId"": 286493169}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2026-03-12,
2603.11881v1,2603.11881,Bielik-Minitron-7B: Compressing Large Language Models via Structured Pruning and Knowledge Distillation for the Polish Language,2026-03-12T12:57:03Z,cs.CL,0,,,,,,,,,,,,"Request failed after retries: HTTP 429: {""message"": ""Too Many Requests. Please wait and try again or apply for a key for higher rate limits. https://www.semanticscholar.org/product/api#api-key-form"", ""code"": ""429""}"
2603.11342v1,2603.11342,Evaluating Explainable AI Attribution Methods in Neural Machine Translation via Attention-Guided Knowledge Distillation,2026-03-11T22:16:11Z,cs.CL,1,e8a9ca7bfd5d3e9897eeaf713b8c8497646e8f50,Evaluating Explainable AI Attribution Methods in Neural Machine Translation via Attention-Guided Knowledge Distillation,2026,,A. Nourbakhsh; Salima Lamsiyah; Adelaide Danilov; Christoph Schommer,79,0,"{""ArXiv"": ""2603.11342"", ""CorpusId"": 286489075}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}]",2026-03-11,
2603.10877v1,2603.10877,From Images to Words: Efficient Cross-Modal Knowledge Distillation to Language Models from Black-box Teachers,2026-03-11T15:24:34Z,cs.CL,1,011b3ca2b3073780ff9b06908e141e63d219affc,From Images to Words: Efficient Cross-Modal Knowledge Distillation to Language Models from Black-box Teachers,2026,,Ayan Sengupta; Shantanu Dixit; Md. Shad Akhtar; Tanmoy Chakraborty,88,0,"{""ArXiv"": ""2603.10877"", ""CorpusId"": 286462619}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Education"", ""source"": ""s2-fos-model""}]",2026-03-11,
2603.10757v1,2603.10757,CodePercept: Code-Grounded Visual STEM Perception for MLLMs,2026-03-11T13:32:58Z,cs.CV,1,86a74e50a838cd236382f330ce4586e43bcf2f89,CodePercept: Code-Grounded Visual STEM Perception for MLLMs,2026,,Tongkun Guan; Zhibo Yang; Jianqiang Wan; Ming-Hsuan Yang; Zhen Guo; Zijian Hu; Ruilin Luo; Rui Chen; Songtao Jiang; Peng Wang; Wei Shen; Junyang Lin; Xiaokang Yang,63,0,"{""ArXiv"": ""2603.10757"", ""CorpusId"": 286462365}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2026-03-11,
2603.10689v2,2603.10689,Contract And Conquer: How to Provably Compute Adversarial Examples for a Black-Box Model?,2026-03-11T11:58:59Z,cs.LG,1,1d48d20ca814cf590f48d164310c178d48f31ab6,Contract And Conquer: How to Provably Compute Adversarial Examples for a Black-Box Model?,2026,,A. Chistyakova; Mikhail Aleksandrovich Pautov,84,0,"{""ArXiv"": ""2603.10689"", ""CorpusId"": 286462471}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}]",2026-03-11,
2603.09727v1,2603.09727,A Multi-Prototype-Guided Federated Knowledge Distillation Approach in AI-RAN Enabled Multi-Access Edge Computing System,2026-03-10T14:32:41Z,cs.LG,1,1ee465503343abf7044b6cdb58cd11e3ae0f1742,A Multi-Prototype-Guided Federated Knowledge Distillation Approach in AI-RAN Enabled Multi-Access Edge Computing System,2026,,Luyao Zou; Hayoung Oh; Chu Myaet Thwal; Apurba Adhikary; Seohyeon Hong; Zhu Han,78,0,"{""ArXiv"": ""2603.09727"", ""CorpusId"": 286429265}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2026-03-10,
2603.09624v1,2603.09624,Decoder-Free Distillation for Quantized Image Restoration,2026-03-10T13:03:47Z,cs.CV,1,4c847165307c6c88cf8220015bfdbee8497a26f3,Decoder-Free Distillation for Quantized Image Restoration,2026,,S. A. Sharif; Abdur Rehman; Seongwan Kim; Jaeho Lee,50,0,"{""ArXiv"": ""2603.09624"", ""CorpusId"": 286429169}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2026-03-10,
2603.12290v1,2603.12290,Detecting Miscitation on the Scholarly Web through LLM-Augmented Text-Rich Graph Learning,2026-03-10T12:44:28Z,cs.IR,1,68503f5c3eb65a6b5a48dd776b82fdbccf92f7f4,Detecting Miscitation on the Scholarly Web through LLM-Augmented Text-Rich Graph Learning,2026,,Huidong Wu; Haojia Xiang; Jingtong Gao; Xiangyu Zhao; Dengsheng Wu; Jianping Li,0,0,"{""ArXiv"": ""2603.12290"", ""DOI"": ""10.1145/3774904.3792568"", ""CorpusId"": 286517673}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}]",2026-03-10,
2603.09149v1,2603.09149,RTFDNet: Fusion-Decoupling for Robust RGB-T Segmentation,2026-03-10T03:40:26Z,cs.CV,1,c65de5bd3192eb68646e80b7350fddb053015cde,RTFDNet: Fusion-Decoupling for Robust RGB-T Segmentation,2026,,Kunyu Tan; Mingjian Liang,42,0,"{""ArXiv"": ""2603.09149"", ""CorpusId"": 286424395}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2026-03-10,
2603.08706v1,2603.08706,Agentic Critical Training,2026-03-09T17:58:56Z,cs.AI,0,,,,,,,,,,,,"Request failed after retries: HTTP 429: {""message"": ""Too Many Requests. Please wait and try again or apply for a key for higher rate limits. https://www.semanticscholar.org/product/api#api-key-form"", ""code"": ""429""}"
2603.07835v1,2603.07835,DistillGuard: Evaluating Defenses Against LLM Knowledge Distillation,2026-03-08T22:38:30Z,cs.CR,1,c6971f3b153417677fa5b74d38423f77e1b4c942,DistillGuard: Evaluating Defenses Against LLM Knowledge Distillation,2026,,Bo Jiang,27,0,"{""ArXiv"": ""2603.07835"", ""CorpusId"": 286377044}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}]",2026-03-08,
2603.07774v1,2603.07774,Geometric Knowledge-Assisted Federated Dual Knowledge Distillation Approach Towards Remote Sensing Satellite Imagery,2026-03-08T19:31:14Z,cs.CV,1,f45ccebd9fcd018121e5abc7ecab428eed7bee0f,Geometric Knowledge-Assisted Federated Dual Knowledge Distillation Approach Towards Remote Sensing Satellite Imagery,2026,,Luyao Zou; Fei Pan; Jueying Li; Y. Tun; Apurba Adhikary; Zhu Han; Hayoung Oh,61,0,"{""ArXiv"": ""2603.07774"", ""CorpusId"": 286377547}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Environmental Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2026-03-08,
2603.07464v1,2603.07464,Selective Transfer Learning of Cross-Modality Distillation for Monocular 3D Object Detection,2026-03-08T05:05:07Z,cs.CV,1,70609654e947026e7136100d252b9837a8d269a5,Selective Transfer Learning of Cross-Modality Distillation for Monocular 3D Object Detection,2024,IEEE transactions on circuits and systems for video technology (Print),Rui Ding; Meng Yang; Nanning Zheng,73,11,"{""ArXiv"": ""2603.07464"", ""DBLP"": ""journals/tcsv/DingYZ24"", ""DOI"": ""10.1109/TCSVT.2024.3405992"", ""CorpusId"": 270083524}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}, {""category"": ""Engineering"", ""source"": ""s2-fos-model""}]",2024-10-01,
2603.07107v1,2603.07107,Efficient Personalized Reranking with Semi-Autoregressive Generation and Online Knowledge Distillation,2026-03-07T08:37:13Z,cs.IR,1,78796288a815c05428233fe458726e23936b90d4,Efficient Personalized Reranking with Semi-Autoregressive Generation and Online Knowledge Distillation,2026,,Kai Cheng; Hao Wang; Wei Guo; Weiwen Liu; Yong Liu; Yawen Li; Enhong Chen,65,0,"{""ArXiv"": ""2603.07107"", ""CorpusId"": 286372063}","[""Computer Science""]","[{""category"": ""Computer Science"", ""source"": ""external""}, {""category"": ""Computer Science"", ""source"": ""s2-fos-model""}]",2026-03-07,
